n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
665,1227,3929,4020,3717,3516
666,1230,3931,4031,3718,3525
667,1233,3936,4036,3714,3517
668,1235,3944,4050,3749,3542
669,1237,3950,4048,3741,3540
670,1239,3952,4062,3749,3544
671,1242,3960,4063,3730,3541
672,1244,3973,4070,3721,3556
673,1246,3969,4085,3737,3564
674,1248,3975,4082,3790,3579
675,1250,3982,4093,3774,3568
676,1253,3993,4095,3781,3590
677,1255,3996,4108,3803,3582
678,1257,4004,4112,3809,3598
679,1260,4006,4119,3773,3604
680,1262,4013,4127,3815,3613
681,1264,4015,4129,3796,3612
682,1266,4024,4150,3834,3624
683,1269,4021,4145,3849,3629
684,1271,4028,4153,3831,3630
685,1272,4042,4166,3814,3642
686,1276,4043,4171,3819,3651
687,1277,4052,4178,3838,3656
688,1279,4067,4186,3830,3659
689,1281,4063,4189,3859,3665
690,1284,4073,4199,3887,3672
691,1285,4084,4196,3894,3669
692,1287,4085,4203,3862,3692
693,1290,4091,4207,3899,3692
694,1291,4095,4223,3916,3699
695,1294,4101,4232,3912,3707
696,1296,4102,4237,3912,3710
697,1299,4103,4234,3929,3716
698,1302,4123,4244,3897,3721
699,1305,4121,4249,3925,3729
700,1305,4128,4264,3960,3735
701,1308,4135,4262,3961,3732
702,1310,4141,4270,3919,3733
703,1313,4148,4286,3951,3752
704,1315,4151,4289,3962,3756
705,1317,4166,4288,3940,3765
706,1320,4176,4301,3946,3771
707,1321,4181,4304,3967,3776
708,1324,4187,4319,3982,3769
709,1326,4187,4320,3990,3798
710,1328,4196,4334,3993,3795
711,1332,4211,4331,3983,3803
712,1332,4211,4345,4034,3811
713,1334,4224,4347,4014,3815
714,1336,4230,4354,4040,3828
715,1339,4236,4360,4011,3828
716,1342,4261,4376,4025,3824
717,1343,4245,4374,4042,3841
718,1344,4264,4378,4019,3836
719,1348,4257,4398,4037,3852
720,1349,4261,4393,4048,3856
721,1351,4271,4406,4048,3862
722,1355,4281,4418,4057,3867
723,1357,4285,4416,4060,3875
724,1360,4294,4420,4064,3883
725,1361,4301,4436,4099,3886
726,1363,4304,4436,4104,3897
727,1366,4320,4445,4135,3890
728,1368,4319,4448,4139,3894
729,1370,4328,4455,4146,3914
730,1373,4334,4462,4128,3918
731,1374,4342,4476,4117,3924
732,1376,4353,4483,4114,3930
733,1379,4355,4483,4161,3933
734,1381,4357,4492,4162,3943
735,1383,4364,4492,4187,3950
736,1385,4381,4499,4154,3952
737,1387,4380,4508,4187,3944
738,1391,4389,4523,4196,3962
739,1392,4403,4519,4161,3969
740,1394,4401,4534,4166,3979
741,1397,4402,4532,4222,3981
742,1400,4414,4550,4225,3988
743,1401,4411,4559,4189,3995
744,1404,4423,4551,4224,3999
745,1406,4439,4562,4199,4010
746,1408,4437,4569,4198,4015
747,1411,4444,4576,4212,4019
748,1412,4453,4580,4232,4022
749,1415,4452,4592,4254,4031
750,1417,4458,4594,4286,4036
751,1420,4464,4608,4234,4044
752,1422,4473,4607,4251,4047
753,1433,4479,4619,4249,4064
754,1435,4491,4631,4299,4067
755,1436,4511,4629,4262,4078
756,1439,4522,4650,4306,4087
757,1441,4514,4646,4302,4088
758,1444,4521,4662,4289,4093
759,1446,4538,4659,4319,4097
760,1450,4547,4669,4313,4106
761,1452,4541,4676,4300,4110
