n,Heap (Cache),Tournament Tree (Cache)
1360,74,85
1361,74,85
1362,73,85
1363,73,86
1364,72,86
1365,73,86
1366,74,86
1367,73,86
1368,74,86
1369,74,86
1370,73,85
1371,73,85
1372,74,86
1373,74,86
1374,73,86
1375,73,85
1376,73,86
1377,73,86
1378,74,86
1379,73,86
1380,74,86
1381,74,86
1382,74,89
1383,76,87
1384,75,90
1385,74,87
1386,76,88
1387,74,87
1388,76,87
1389,75,89
1390,75,87
1391,74,87
1392,75,87
1393,75,87
1394,74,88
1395,75,87
1396,75,87
1397,75,88
1398,75,87
1399,75,88
1400,75,88
1401,76,89
1402,76,88
1403,76,88
1404,76,89
1405,76,89
1406,75,88
1407,76,88
1408,76,88
1409,75,88
1410,76,88
1411,75,88
1412,76,88
1413,76,88
1414,76,89
1415,76,88
1416,76,88
1417,76,89
1418,76,88
1419,76,90
1420,79,91
1421,76,89
1422,76,89
1423,76,89
1424,77,89
1425,76,89
1426,77,89
1427,77,90
1428,76,90
1429,77,89
1430,77,90
1431,77,90
1432,77,90
1433,77,90
1434,77,90
1435,77,90
1436,77,90
1437,78,91
1438,78,90
1439,78,91
1440,77,91
1441,78,91
1442,79,92
1443,81,92
1444,78,91
1445,78,91
1446,78,91
1447,78,92
1448,78,91
1449,78,91
1450,78,91
1451,78,91
1452,79,91
1453,78,91
1454,79,92
1455,79,91
1456,78,91
1457,79,91
1458,78,92
1459,79,92
1460,79,92
1461,79,92
1462,79,93
1463,78,92
1464,79,92
1465,79,92
1466,79,92
1467,80,92
1468,80,92
1469,79,93
1470,79,93
1471,79,93
1472,79,93
1473,79,93
1474,80,94
1475,79,94
1476,80,93
1477,79,94
1478,79,94
1479,79,93
1480,80,93
1481,80,94
1482,79,94
1483,81,94
1484,80,94
1485,80,94
1486,80,94
1487,79,94
1488,80,95
1489,80,94
1490,81,95
1491,81,94
1492,81,95
1493,81,94
1494,80,94
1495,81,94
1496,81,95
1497,81,95
1498,81,95
1499,82,95
1500,81,98
1501,81,95
1502,81,96
1503,82,95
1504,81,96
1505,81,95
1506,82,97
1507,83,98
1508,83,97
1509,84,97
1510,82,97
1511,84,97
1512,82,97
1513,85,97
1514,82,99
1515,83,96
1516,84,95
1517,82,98
1518,81,98
1519,82,97
1520,88,97
1521,83,99
1522,82,98
1523,83,96
1524,82,97
1525,82,97
1526,82,97
1527,82,101
1528,84,100
1529,83,97
1530,86,98
1531,83,99
1532,83,98
1533,86,97
1534,82,98
1535,87,99
1536,82,97
1537,86,100
1538,83,100
1539,83,99
1540,83,98
1541,84,98
1542,84,99
1543,85,98
1544,84,98
1545,84,102
1546,84,100
1547,86,99
1548,84,99
1549,86,99
1550,84,100
1551,85,99
1552,84,99
1553,84,99
1554,84,99
1555,84,100
1556,84,99
1557,85,99
1558,85,100
1559,84,100
1560,85,100
1561,85,100
1562,85,101
1563,97,103
1564,87,103
1565,87,101
1566,89,109
1567,121,137
1568,129,111
1569,118,109
1570,86,102
1571,86,101
1572,86,101
1573,85,103
1574,89,111
1575,88,102
1576,87,102
1577,87,107
1578,90,103
1579,87,104
1580,87,102
1581,86,102
1582,88,101
1583,87,109
1584,87,102
1585,88,103
1586,89,103
1587,87,104
1588,87,103
1589,90,103
1590,90,103
1591,86,102
1592,87,102
1593,86,102
1594,87,102
1595,88,102
1596,87,103
1597,87,103
1598,86,102
1599,87,102
1600,87,104
1601,90,105
1602,87,103
1603,90,103
1604,88,103
1605,87,103
1606,88,103
1607,87,102
1608,89,103
1609,87,103
1610,90,105
1611,89,104
1612,91,104
1613,89,104
1614,88,107
1615,90,106
1616,95,108
1617,93,105
1618,90,107
1619,89,109
1620,102,112
1621,90,106
1622,90,106
1623,95,107
1624,90,108
1625,91,113
1626,94,113
1627,91,106
1628,89,106
1629,90,112
1630,91,105
1631,89,105
1632,97,109
1633,93,110
1634,95,109
1635,97,113
1636,112,135
1637,102,112
1638,92,109
1639,101,126
1640,97,118
1641,97,112
1642,103,127
1643,127,137
1644,120,126
1645,111,116
1646,104,121
1647,108,114
1648,96,135
1649,102,118
1650,104,119
1651,110,116
1652,109,113
1653,101,110
1654,114,115
1655,92,113
1656,98,111
1657,99,111
1658,97,124
1659,102,120
1660,93,109
1661,92,108
1662,92,124
1663,96,116
1664,128,117
1665,102,118
1666,99,113
1667,102,120
1668,93,110
1669,95,123
1670,110,118
1671,94,109
1672,96,110
1673,120,135
1674,106,116
1675,100,114
1676,122,121
1677,106,127
1678,103,112
1679,107,111
1680,95,110
1681,113,118
1682,97,120
